French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
genre,kind
mois,month
laisser,let
car,because
mettre,to put
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
venu,came
suite,after
pardon,sorry
venez,come
minutes,minutes
demandé,request
chambre,bedroom
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
